student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies_flat,devices_type,devices_brand,devices_year,skills_soft,skills_tech.python,skills_tech.excel,skills_tech.sql,family_siblings,family_income.father,family_income.mother,address_city,address_district,address_postal_code
40,Sara Page,20,Female,71,Unknown,West William,edgar27@phillips-martin.info,2022-03-26 05:45:17,Python,100,inactive,,,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","imagine, middle",phone,Apple,2021.0,,,,,,,,Dicksonbury,,
41,Unknown,19,Male,,Unknown,West Georgefort,Incorrect email format,1975-12-17 00:00:00,Data science,,active,,average,225.0,2021-04-03 02:43:08,"4613 Robert Cliff Suite 875, South Leslie","particular, turn",laptop,HP,2017.0,"['move', 'bar']",3.0,5.0,1.0,3.0,786.0,987.0,South Leslie,,
41,Unknown,19,Male,,Unknown,West Georgefort,Incorrect email format,1975-12-17 00:00:00,Data science,,active,,average,225.0,2021-04-03 02:43:08,"4613 Robert Cliff Suite 875, South Leslie","particular, turn",phone,Xiaomi,2019.0,"['two', 'economy']",3.0,4.0,1.0,5.0,527.0,408.0,South Leslie,,
42,Mark Smith,,Male,90,Unknown,West Morganchester,Incorrect email format,1980-12-09 00:00:00,Other,81,inactive,2.0,excellent,255.0,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",,,,,"['what', 'happy']",3.0,4.0,5.0,5.0,1227.0,564.0,Tashkent,Port Kristopherberg,100563
43,Amanda Myers,19,Female,90,+1-698-115-3243,North Christopherborough,Incorrect email format,2021-06-24 12:05:49,Data science,100,pending,2.0,average,140.0,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"professional, necessary",laptop,Dell,2018.0,"['floor', 'question']",2.0,5.0,3.0,0.0,1427.0,1378.0,Tashkent,North Joseph,100515
43,Amanda Myers,19,Female,90,+1-698-115-3243,North Christopherborough,Incorrect email format,2021-06-24 12:05:49,Data science,100,pending,2.0,average,140.0,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"professional, necessary",phone,Apple,2021.0,"['return', 'address']",3.0,1.0,4.0,5.0,1037.0,1043.0,Tashkent,North Joseph,100515
44,Eric George,18,Male,93,Unknown,Nathanborough,Incorrect email format,2022-03-17 10:25:13,Python,,inactive,,good,205.0,2022-06-27 20:25:36,UZ 100297 Tashkent North Candace,,,,,,,,,,,,Tashkent,North Candace,100297
45,Unknown,20,Unknown,83,Unknown,Duncanfort,Incorrect email format,2022-12-26 11:07:23,Other,100,active,0.0,excellent,135.0,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","finish, true",laptop,Lenovo,2021.0,"['where', 'responsibility']",5.0,1.0,1.0,5.0,658.0,561.0,Tashkent,Annahaven,
45,Unknown,20,Unknown,83,Unknown,Duncanfort,Incorrect email format,2022-12-26 11:07:23,Other,100,active,0.0,excellent,135.0,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","finish, true",phone,Xiaomi,2022.0,"['through', 'water']",1.0,2.0,3.0,5.0,494.0,1415.0,Tashkent,Annahaven,
46,Brandi Jones,20,Male,,Unknown,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Data science,92,inactive,,,172.0,1975-05-22 00:00:00,"BROKEN,ADDRESS,DATA,,,","raise, let",laptop,Dell,2016.0,,,,,,,,,,
46,Brandi Jones,20,Male,,Unknown,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Data science,92,inactive,,,172.0,1975-05-22 00:00:00,"BROKEN,ADDRESS,DATA,,,","raise, let",phone,Apple,2021.0,,,,,,,,,,
47,John Robinson,19,Unknown,51,Unknown,Port Tracy,wallacerandy@bradshaw.com,2021-01-18 15:09:03,Data science,,active,,average,166.0,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"above, even",laptop,HP,2020.0,,,,,,,,Tashkent,East Williamport,100626
47,John Robinson,19,Unknown,51,Unknown,Port Tracy,wallacerandy@bradshaw.com,2021-01-18 15:09:03,Data science,,active,,average,166.0,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"above, even",phone,Apple,2022.0,"['store', 'position']",5.0,1.0,4.0,0.0,294.0,207.0,Tashkent,East Williamport,100626
48,Suzanne Meyer,20,Male,95,Unknown,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data science,100,active,,,144.0,1976-01-20 00:00:00,"6637 Michelle Unions Apt. 959, Erikfort","do, property",laptop,Dell,2015.0,,,,,,,,Erikfort,,
48,Suzanne Meyer,20,Male,95,Unknown,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data science,100,active,,,144.0,1976-01-20 00:00:00,"6637 Michelle Unions Apt. 959, Erikfort","do, property",phone,Apple,2024.0,,,,,,,,Erikfort,,
49,Unknown,18,Female,90,+1-271-809-4741,Lake Michael,Incorrect email format,2023-01-02 03:42:09,Data science,81,active,2.0,average,225.0,1992-09-19 00:00:00,"00607 Alvarez Circles Suite 553, North Benjamin",,,,,,,,,,,,North Benjamin,,
50,Justin Wong,18,Female,90,+1-010-809-9177,Travisfort,Incorrect email format,1970-02-03 13:13:00,Data science,100,active,3.7,average,164.0,1995-02-16 00:00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","decide, continue",laptop,Lenovo,2016.0,,,,,,,,Tashkent,East Andrew,100090
50,Justin Wong,18,Female,90,+1-010-809-9177,Travisfort,Incorrect email format,1970-02-03 13:13:00,Data science,100,active,3.7,average,164.0,1995-02-16 00:00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","decide, continue",phone,Samsung,2024.0,,,,,,,,Tashkent,East Andrew,100090
51,James Davis,20,Female,61,Unknown,New Emilyshire,Incorrect email format,2014-02-09 00:00:00,Data science,,inactive,3.7,average,132.0,1995-04-07 00:00:00,UZ 100391 Tashkent Lake Amy,,,,,,,,,,,,Tashkent,Lake Amy,100391
52,Mitchell Conway,19,Female,63,+1-570-911-9906,Lake Louis,Incorrect email format,1994-06-13 04:13:00,Data science,,inactive,2.0,,205.0,2023-01-10 06:52:10,"BROKEN,ADDRESS,DATA,,,","painting, tough",laptop,Dell,2015.0,"['after', 'similar']",1.0,4.0,4.0,4.0,349.0,536.0,,,
52,Mitchell Conway,19,Female,63,+1-570-911-9906,Lake Louis,Incorrect email format,1994-06-13 04:13:00,Data science,,inactive,2.0,,205.0,2023-01-10 06:52:10,"BROKEN,ADDRESS,DATA,,,","painting, tough",phone,Apple,2020.0,"['example', 'defense']",1.0,3.0,5.0,1.0,1111.0,456.0,,,
53,Unknown,20,Female,88,+1-780-869-1118,West Lindsayview,dclark@boyd.info,2012-06-25 00:00:00,Data science,100,inactive,3.7,average,251.0,1990-03-31 00:00:00,UZ 100232 Tashkent Annabury,,,,,"['expect', 'fall']",4.0,4.0,1.0,5.0,675.0,1465.0,Tashkent,Annabury,100232
54,Heather Moreno,19,Female,83,+1-438-917-8289,South Jasmine,Incorrect email format,2025-07-25 00:00:00,Data science,,pending,,excellent,221.0,2024-01-16 00:00:00,"Christown 6-kv, dom 20, Tashkent","leave, effect",laptop,Dell,2020.0,,,,,,,,Tashkent,Christown,
54,Heather Moreno,19,Female,83,+1-438-917-8289,South Jasmine,Incorrect email format,2025-07-25 00:00:00,Data science,,pending,,excellent,221.0,2024-01-16 00:00:00,"Christown 6-kv, dom 20, Tashkent","leave, effect",phone,Apple,2020.0,,,,,,,,Tashkent,Christown,
55,Todd Moore,21,Male,,+1-517-494-2230,Richardview,schmidtregina@gmail.com,1999-04-29 21:01:29,Data science,100,inactive,0.0,excellent,51.0,1998-03-22 03:51:00,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291",,,,,"['PM', 'structure']",3.0,4.0,3.0,4.0,491.0,426.0,Tashkent,West Davidhaven,100291
